CIF file,Number of atoms in supercell,Min distance,Processing time (s)
1930827.cif,266,N/A,0.007
1521409.cif,284,N/A,0.008
1230993.cif,228,N/A,0.005
1642894.cif,342,N/A,0.007
1008278.cif,210,N/A,0.005
536131.cif,178,N/A,0.003
1150761.cif,211,N/A,0.004
462212.cif,180,N/A,0.005
536125.cif,178,N/A,0.003
1120292.cif,296,N/A,0.004
1230987.cif,228,N/A,0.003
300814.cif,212,N/A,0.006
311919.cif,228,N/A,0.004
1943605.cif,160,N/A,0.005
461069.cif,296,N/A,0.004
1241818.cif,296,N/A,0.004
458830.cif,206,N/A,0.003
1406908.cif,160,N/A,0.004
1926089.cif,206,N/A,0.004
554788.cif,323,N/A,0.005
300182.cif,212,N/A,0.005
309818.cif,210,N/A,0.003
1323079.cif,498,N/A,0.006
461041.cif,206,N/A,0.002
1406920.cif,266,N/A,0.004
537575.cif,212,N/A,0.003
1835977.cif,228,N/A,0.003
1008244.cif,450,N/A,0.004
379455.cif,316,N/A,0.004
1141122.cif,383,N/A,0.003
1234263.cif,206,N/A,0.008
1241824.cif,296,N/A,0.002
1828701.cif,175,N/A,0.003
1232821.cif,228,N/A,0.003
312579.cif,466,N/A,0.006
1406061.cif,464,N/A,0.004
461900.cif,240,N/A,0.004
1049581.cif,456,N/A,0.005
461914.cif,212,N/A,0.003
1802856.cif,212,N/A,0.004
1816823.cif,267,N/A,0.004
300169.cif,212,N/A,0.003
1433970.cif,206,N/A,0.004
1321875.cif,180,N/A,0.003
1340247.cif,284,N/A,0.005
461082.cif,212,N/A,0.006
1612084.cif,296,N/A,0.005
1008287.cif,228,N/A,0.004
1533794.cif,180,N/A,0.004
1926710.cif,228,N/A,0.003
555327.cif,296,N/A,0.005
1008293.cif,316,N/A,0.003
300155.cif,212,N/A,0.004
1960023.cif,212,N/A,0.004
1214170.cif,268,N/A,0.004
1024590.cif,307,N/A,0.004
1223253.cif,272,N/A,0.003
1237540.cif,178,N/A,0.004
1820188.cif,228,N/A,0.004
1008708.cif,296,N/A,0.004
301908.cif,334,N/A,0.004
1824488.cif,199,N/A,0.004
1024584.cif,307,N/A,0.004
537039.cif,212,N/A,0.007
1044270.cif,206,N/A,0.004
1223247.cif,175,N/A,0.003
1604427.cif,212,N/A,0.004
1009358.cif,466,N/A,0.006
539982.cif,474,N/A,0.007
1008720.cif,296,N/A,0.002
1521637.cif,196,N/A,0.003
1047037.cif,175,N/A,0.004
300380.cif,212,N/A,0.005
548809.cif,466,N/A,0.006
1222165.cif,266,N/A,0.005
1910063.cif,180,N/A,0.005
1008052.cif,228,N/A,0.004
1007361.cif,175,N/A,0.004
1122863.cif,228,N/A,0.003
1612251.cif,413,N/A,0.005
1049783.cif,228,N/A,0.003
1718783.cif,206,N/A,0.004
540266.cif,270,N/A,0.003
1406263.cif,261,N/A,0.004
1937437.cif,414,N/A,0.006
546171.cif,212,N/A,0.003
537788.cif,212,N/A,0.004
1907292.cif,183,N/A,0.004
315014.cif,212,N/A,0.003
539969.cif,180,N/A,0.004
1833651.cif,233,N/A,0.004
315000.cif,212,N/A,0.003
1608590.cif,332,N/A,0.005
1245101.cif,265,N/A,0.004
1406277.cif,300,N/A,0.005
1636318.cif,266,N/A,0.004
1234920.cif,212,N/A,0.005
1102594.cif,228,N/A,0.004
1121365.cif,286,N/A,0.004
1639003.cif,175,N/A,0.003
1008085.cif,199,N/A,0.004
1214366.cif,212,N/A,0.003
539799.cif,212,N/A,0.003
303886.cif,152,N/A,0.003
1128355.cif,180,N/A,0.004
300357.cif,212,N/A,0.003
1229795.cif,206,N/A,0.004
1008091.cif,199,N/A,0.003
548612.cif,129,N/A,0.003
1121371.cif,286,N/A,0.004
1822006.cif,212,N/A,0.003
1825769.cif,206,N/A,0.004
1818211.cif,414,N/A,0.006
459694.cif,332,N/A,0.006
1803631.cif,212,N/A,0.006
539612.cif,296,N/A,0.005
538518.cif,228,N/A,0.004
1803625.cif,212,N/A,0.003
1432703.cif,206,N/A,0.004
1615310.cif,450,N/A,0.004
1217928.cif,266,N/A,0.004
1730812.cif,356,N/A,0.005
1049620.cif,221,N/A,0.003
1006137.cif,212,N/A,0.006
1948340.cif,183,N/A,0.004
548799.cif,332,N/A,0.004
460997.cif,212,N/A,0.004
461451.cif,326,N/A,0.004
1825812.cif,417,N/A,0.004
1232216.cif,233,N/A,0.005
1128590.cif,466,N/A,0.005
1013512.cif,210,N/A,0.003
1231079.cif,233,N/A,0.004
1954033.cif,206,N/A,0.004
1803619.cif,296,N/A,0.004
1007215.cif,448,N/A,0.005
535955.cif,296,N/A,0.003
548996.cif,180,N/A,0.003
1211356.cif,183,N/A,0.004
459643.cif,212,N/A,0.004
302408.cif,206,N/A,0.004
1928311.cif,296,N/A,0.005
1406303.cif,474,N/A,0.003
535941.cif,296,N/A,0.004
1415431.cif,268,N/A,0.006
300551.cif,272,N/A,0.005
535969.cif,296,N/A,0.004
