filename,error_message
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1010019.cif,/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1010019.cif:52:1: Wrong number of values in loop _publ_author_*
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1819643.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453817.cif,/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453817.cif:50:1: Wrong number of values in loop _publ_author_*
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1010020.cif,/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1010020.cif:52:1: Wrong number of values in loop _publ_author_*
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1010022.cif,/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1010022.cif:52:1: Wrong number of values in loop _publ_author_*
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/251281.cif,An error occurred while processing symmetry operation
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/534554.cif,An error occurred while processing symmetry operation
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1945774.cif,Wrong number of values in the loop
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1824794.cif,An error occurred while processing symmetry operation
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1503204.cif,An error occurred while processing symmetry operation
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/452743.cif,Missing atomic coordinates
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1250602.cif,An error occurred while processing symmetry operation
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1643886.cif,An error occurred while processing symmetry operation
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453818.cif,/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453818.cif:50:1: Wrong number of values in loop _publ_author_*
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453819.cif,/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453819.cif:50:1: Wrong number of values in loop _publ_author_*
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1244601.cif,/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/1244601.cif:51:1: Wrong number of values in loop _publ_author_*
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453821.cif,/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453821.cif:50:1: Wrong number of values in loop _publ_author_*
/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453820.cif,/Users/imac/Documents/GitHub/cif-filter-copy/binary M-X CIF/453820.cif:50:1: Wrong number of values in loop _publ_author_*
