Entry,Compound,Shortest distance,Filtered,Number of atoms
1605507,NiSi,2.217,No,148
529011,Pt3In2,2.74118,No,397
1815331,CoSi,2.31151,No,120
1048106,RhSn4,2.74959,No,286
1008522,FeSn,2.64399,No,163
1815319,CoGa3,2.3623,No,270
454944,Ni0.92Ga0.08,2.50669,No,120
527000,Rh1.38Si,2.27993,No,189
262075,Pt3Ga,2.75205,No,113
1640926,OsSb2,2.63123,No,90
1823654,Fe0.91Ge0.09,2.49562,No,60
452312,Ni3In,2.55359,No,202
532394,Ni0.91Sb0.09,2.53992,No,120
251332,Co2Ge,2.27473,No,189
1635375,FeSb2,2.5182,No,90
1821719,Fe0.888Si0.112,2.4679,No,60
1717856,CoSi2,2.32397,No,278
454987,Fe3Si,2.44781,No,466
1936265,RuIn3,2.64748,No,270
533539,CoGa,2.49692,No,62
1251809,Fe1.6Ge,0.05237,Yes,307
532169,Ni3Sn,2.64316,No,113
456389,Fe3Si,2.44669,No,466
1141452,CoSb2,2.49815,No,180
1941238,Fe3Si,2.44824,No,466
1819721,Ni1.5Sn,2.36722,No,189
1229756,Fe2.8Ga1.2,2.60215,No,211
261959,Pt3Ge,2.50532,No,268
1410415,CoGa3,2.36008,No,270
1720546,FeSi,2.27835,No,120
1929153,Ni1.78Ga,2.31226,No,189
1720552,FeSi,2.27784,No,120
261971,Pt3Ga,2.50673,No,375
261150,FeGe2,2.4705,No,250
550868,FeGe2,2.4705,No,250
455904,RhGa,2.60101,No,62
1630184,Ni2Ga3,2.43946,No,127
1221518,Ni0.88Si0.12,2.48194,No,120
454373,Pt3Ga,2.50693,No,375
1828477,PdSn,2.55656,No,152
307564,Fe1.72Si0.28,2.47033,No,109
1930238,Ni0.03Sn0.97,3.02178,No,266
1245075,Ni3Si,2.50089,No,113
261811,Ni2Si,2.31942,No,228
1251028,OsGe2,2.37703,No,180
532974,Co1.7Ge,2.26203,No,189
1611360,RuSi,2.39236,No,120
1415800,FeSb2,2.57037,No,90
530346,FeGe,2.37962,No,120
1009990,NiSb2,2.46703,No,90
533840,FeGa3,2.39372,No,270
251534,FeGe2,2.4785,No,250
1816957,Fe0.92Sn0.08,2.53225,No,60
529824,Ni3Si,2.48123,No,113
1822402,PtSn,2.72,No,98
558763,FeGe2,2.481,No,250
1717936,Ni3Sn,2.60774,No,202
458005,IrSb2,2.57028,No,180
458004,RhSb2,2.56349,No,180
1605499,NiSi,2.13455,No,120
1816956,Fe3Sn,2.55714,No,202
1833526,NiIn,2.62224,No,163
450316,PtIn,2.67067,No,336
456001,OsSi,2.45725,No,120
1825436,Fe0.81Ga0.19,2.51285,No,60
532975,Fe1.7Ge,2.31919,No,189
557121,Fe1.67Sn,2.44216,No,189
1920002,CoSn2,2.72905,No,250
1251997,Pt2Ge3,2.06142,No,380
1400015,RuIn3,2.64902,No,270
532791,CoSi,2.25951,No,120
1630185,NiGa5,2.43042,No,486
1834088,Fe0.73Ga0.27,2.59751,No,136
1830588,Ni2Ga3,2.42331,No,127
1720553,FeSi,2.27791,No,120
1720547,FeSi,2.27742,No,120
542464,Ir1.5Si,2.28628,No,189
1024546,NiSi,2.33997,No,96
1251607,IrGe4,2.49327,No,286
452677,RhSi,2.44826,No,120
532168,Fe3Sn,2.73862,No,113
1819720,Ni3Sn2,2.44982,No,348
457928,Fe3Ga,2.5145,No,466
532140,NiIn,2.65003,No,62
1717843,PdSi,2.38597,No,152
1834301,Fe0.835Si0.165,2.16807,No,136
250011,Pd0.83Sn0.17,2.79024,No,120
531878,Ni3Ge,2.52578,No,113
455440,Fe1.67Ge,2.3215,No,189
1717857,NiSi2,2.34086,No,278
1251411,Pt3Ga,2.50664,No,375
1635374,FeSb2,2.54453,No,90
1823655,Fe0.816Ga0.184,2.5145,No,60
1247501,Fe0.81Ga0.19,2.50713,No,60
532395,Ni3Sb,2.55649,No,187
1821724,FeSi2,2.34567,No,81
452313,Ni2In3,2.61573,No,127
1952735,Fe2Ge3,2.31651,No,376
1815318,FeGa3,2.36983,No,270
527001,Rh5Si3,2.35862,No,312
454945,Ni0.92Ge0.08,2.50457,No,120
1605512,NiSi,2.22247,No,152
1713364,PdSn2,2.77134,No,360
1605506,NiSi,2.14586,No,120
1534775,FeGa3,2.36531,No,270
1928919,Fe3Sn,2.61983,No,202
534725,NiSb,2.5655,No,98
451803,IrSi,2.41029,No,152
260113,RhGe,2.48425,No,120
1957897,FeGa3,2.45648,No,186
1635389,FeSb2,2.5951,No,250
1928925,Ni1.5Sn,2.39309,No,189
527003,Pt3Ga,2.75205,No,113
262076,IrGe4,2.48998,No,286
1962838,Fe0.73Ga0.27,2.52437,No,60
1646373,RhGe,2.46334,No,120
261219,PtSi,2.44219,No,152
1635376,FeSb2,2.50094,No,90
450248,IrIn3,2.67425,No,270
1824110,Ni0.75Ga0.25,2.51093,No,120
453999,Fe3.05Ge0.95,5e-05,Yes,404
1223244,Pd2Si,2.39441,No,206
530033,CoGa3,2.35255,No,270
1042616,FeSi,2.30192,No,120
261769,Pt0.999Sn0.001,2.79307,No,120
1730795,Ni3Si,2.48746,No,113
1141451,CoSb,2.5825,No,98
1720551,FeSi,2.27714,No,120
1250533,Pt2Ga,2.60994,No,490
1720545,FeSi,2.27833,No,120
1820606,RuSb2,2.62231,No,90
261147,PtSn2,2.7769,No,278
1051044,Fe0.83Ga0.17,2.50627,No,60
1248552,Pd0.85In0.15,2.78324,No,120
532793,NiSi,2.22326,No,152
530184,Ni0.85Ga0.15,2.51659,No,120
1400017,PdSb2,2.67658,No,180
530190,Co0.83Ge0.17,2.5279,No,120
1614964,Pd2.17Ga0.83,2.54577,No,304
557123,FeSn2,2.6605,No,250
261812,CoGa,2.49683,No,62
554358,Fe3Si,2.4479,No,466
1611439,RuSi,2.39531,No,120
1221080,PtSi,2.35959,No,152
251537,CoSn2,2.728,No,250
1825434,Fe0.748Ga0.252,2.64316,No,120
456003,IrSi,2.41534,No,152
458006,OsSb2,2.63176,No,90
1212462,NiIn,2.61699,No,163
529827,Ni3Ge,2.52437,No,113
1822401,PtSb,2.735,No,98
456758,FeSi2,2.36022,No,81
450329,Pd5Ge,2.36614,No,360
529826,Ni3Ga,2.53285,No,113
1009945,CoSb,2.59498,No,98
458007,RuSb2,2.62769,No,90
1241007,Fe0.73Ga0.27,2.53831,No,60
456002,RuSi,2.51926,No,62
1825435,Fe3Ga,2.50523,No,466
251536,FeSn2,2.6625,No,250
1816955,Fe1.67Sn,2.43927,No,189
2070054,Fe0.75Si0.25,2.46037,No,60
