Entry,Compound,Shortest distance,Filtered,Number of atoms
1627942,Ni0.5Pd0.5,2.64811,No,120
1633076,Rh0.5Pd0.5,2.72023,No,120
250004,Rh0.5Pd0.5,2.72165,No,120
452070,Th0.5Ce0.5,3.60412,No,120
1020480,Pt0.5Pd0.5,2.75983,No,120
1933533,Pt0.5Pd0.5,2.76549,No,120
1720931,Nd5Si3,2.75502,No,662
1014320,Ru0.5Pt0.5,2.73013,No,120
1964907,Fe0.5Pt0.5,2.687,No,120
1633739,Co0.5Pd0.5,2.65377,No,120
555454,Fe0.5Ni0.5,2.53709,No,120
250005,Ir0.5Rh0.5,2.70256,No,120
1817255,Fe0.5Pt0.5,2.74498,No,120
1149582,Co0.50Pt0.50,2.65094,No,120
1024034,Rh0.50Pd0.50,2.72094,No,120
454210,La0.5Ce0.5,3.70594,No,120
250211,Th0.5Ce0.5,3.60362,No,120
1831327,Fe0.50Ni0.50,2.5477,No,120
261634,Ni0.5Pd0.5,2.64457,No,120
250006,Ir0.5Pt0.5,2.7471,No,120
1933445,Co0.5Pt0.5,2.67993,No,120
1627940,Ni0.5Pt0.5,2.65872,No,120
250002,Rh0.5Pt0.5,2.73155,No,120
1932561,Rh0.5Pd0.5,2.72023,No,120
1054688,Fe0.50Ni0.50,2.53384,No,120
1244345,Ru0.5Pt0.5,2.72801,No,120
458215,Th0.5Pr0.5,3.62109,No,120
250162,Rh0.5Ni0.5,2.60568,No,120
380981,URhIn,2.69678,No,206
458214,Th0.5Nd0.5,3.61472,No,120
457859,RhSb2,2.51598,No,180
250003,Ir0.5Pd0.5,2.73013,No,120
528478,Rh0.5Ni0.5,2.62251,No,120
261237,Co0.5Rh0.5,2.59508,No,120
250001,Pt0.5Pd0.5,2.7662,No,120
1950873,Fe0.5Ni0.5,2.5361,No,120
455849,Ni0.5Pt0.5,2.67357,No,120
1242657,Fe0.5Ni0.5,2.5074,No,120
1823282,Ir0.5Pt0.5,2.75347,No,120
1301569,Al6Ge5,2.51501,No,1053
1601445,NiAl3,2.15798,No,272
456372,Fe0.5Pd0.5,2.69266,No,120
455848,Co0.5Pt0.5,2.69336,No,120
1014319,Rh0.5Pt0.5,2.73226,No,120
1024033,Ir0.50Pd0.50,2.72872,No,120
1817278,Fe0.5Pt0.5,2.69464,No,120
1950626,Fe0.5Ni0.5,2.5267,No,120
2030011,HoPt,2.59079,No,152
380981,URhIn,2.69678,No,206
534341,Co0.5Ni0.5,2.49891,No,120
1922663,Ru0.5Pt0.5,2.72731,No,120
531985,Pt0.5Pd0.5,2.75983,No,120
555219,Fe0.5Rh0.5,2.63821,No,120
1821431,Pt0.5In0.5,2.79165,No,120
1239069,Fe0.5Rh0.5,2.62336,No,120
1950625,Fe0.5Ni0.5,2.5313,No,120
1537343,Co0.50Pd0.50,2.67215,No,120
250139,Th7Rh3,2.8687,No,464
251582,La0.5Ce0.5,3.70552,No,120
1950626,Fe0.5Ni0.5,2.5267,No,120
2030011,HoPt,2.59079,No,152
261284,Pt0.5Pd0.5,2.75205,No,120
1537959,Ru0.50Pd0.50,2.72094,No,120
250170,ThOs2,2.72766,No,642
250539,Th0.5Pr0.5,3.61904,No,120
534804,Fe0.5Ni0.5,2.53851,No,120
1961204,Ni0.5Pd0.5,2.75785,No,120
1961205,Co0.5Pd0.5,2.78451,No,120
533830,Th0.5Ce0.5,3.60553,No,120
1929731,Pt0.50Sn0.50,2.80933,No,120
250538,Th0.5Er0.5,3.55879,No,120
