Filename,CIF,Compound,Number of atoms,Execution time (s),Total_time (s)
452070.cif,452070,Th0.5Ce0.5,120,0.398,0.398
1020480.cif,1020480,Pt0.5Pd0.5,120,0.361,0.759
1933533.cif,1933533,Pt0.5Pd0.5,120,0.352,1.111
Nd5Si3 2.cif,1720931,Nd5Si3,662,12.105,13.216
AlGd.cif,1005811,GdAl3,313,2.444,15.66
1014320.cif,1014320,Ru0.5Pt0.5,120,0.41,16.07
1964907.cif,1964907,Fe0.5Pt0.5,120,0.356,16.425
555454.cif,555454,Fe0.5Ni0.5,120,0.354,16.779
1817255.cif,1817255,Fe0.5Pt0.5,120,0.375,17.155
1149582.cif,1149582,Co0.50Pt0.50,120,0.356,17.511
1024034.cif,1024034,Rh0.50Pd0.50,120,0.36,17.871
454210.cif,454210,La0.5Ce0.5,120,0.379,18.25
250211.cif,250211,Th0.5Ce0.5,120,0.353,18.604
1831327.cif,1831327,Fe0.50Ni0.50,120,0.359,18.963
261634.cif,261634,Ni0.5Pd0.5,120,0.375,19.338
1933445.cif,1933445,Co0.5Pt0.5,120,0.355,19.694
1627940.cif,1627940,Ni0.5Pt0.5,120,0.361,20.055
250002.cif,250002,Rh0.5Pt0.5,120,0.382,20.437
1965730 copy.cif,1965730,Fe0.50Rh0.50,120,0.354,20.791
1054688.cif,1054688,Fe0.50Ni0.50,120,0.355,21.146
1244345.cif,1244345,Ru0.5Pt0.5,120,0.374,21.521
458215.cif,458215,Th0.5Pr0.5,120,0.359,21.88
URhIn.cif,380981,URhIn,206,1.166,23.045
ThSb copy.cif,531015,ThSb,62,0.104,23.149
458214.cif,458214,Th0.5Nd0.5,120,0.372,23.521
RhSb2.cif,457859,RhSb2,180,0.862,24.383
528478.cif,528478,Rh0.5Ni0.5,120,0.38,24.762
261237.cif,261237,Co0.5Rh0.5,120,0.358,25.12
250001.cif,250001,Pt0.5Pd0.5,120,0.356,25.476
1950873.cif,1950873,Fe0.5Ni0.5,120,0.373,25.849
455849.cif,455849,Ni0.5Pt0.5,120,0.433,26.282
1242657.cif,1242657,Fe0.5Ni0.5,120,0.428,26.71
Al6Ge5.cif,1301569,Al6Ge5,1053,33.352,60.062
Al3Ni.cif,1601445,NiAl3,272,2.594,62.656
456372.cif,456372,Fe0.5Pd0.5,120,0.488,63.144
455848.cif,455848,Co0.5Pt0.5,120,0.361,63.505
1014319.cif,1014319,Rh0.5Pt0.5,120,0.358,63.863
URhIn copy.cif,380981,URhIn,206,1.17,65.033
1024033.cif,1024033,Ir0.50Pd0.50,120,0.385,65.418
1817278.cif,1817278,Fe0.5Pt0.5,120,0.359,65.777
1950626.cif,1950626,Fe0.5Ni0.5,120,0.359,66.136
HoPt 2.cif,2030011,HoPt,152,0.576,66.712
URhIn 2.cif,380981,URhIn,206,1.176,67.888
534341.cif,534341,Co0.5Ni0.5,120,0.361,68.249
531985.cif,531985,Pt0.5Pd0.5,120,0.37,68.619
555219.cif,555219,Fe0.5Rh0.5,120,0.357,68.976
1821431.cif,1821431,Pt0.5In0.5,120,0.359,69.335
1242657 copy.cif,1242657,Fe0.5Ni0.5,120,0.372,69.707
1239069.cif,1239069,Fe0.5Rh0.5,120,0.355,70.062
1950625.cif,1950625,Fe0.5Ni0.5,120,0.352,70.414
1537343.cif,1537343,Co0.50Pd0.50,120,0.37,70.784
250139.cif,250139,Th7Rh3,464,6.332,77.116
251582.cif,251582,La0.5Ce0.5,120,0.416,77.531
1950626 copy.cif,1950626,Fe0.5Ni0.5,120,0.357,77.889
HoPt.cif,2030011,HoPt,152,0.595,78.484
1537959.cif,1537959,Ru0.50Pd0.50,120,0.365,78.849
ThOs2.cif,250170,ThOs2,642,10.856,89.705
250539.cif,250539,Th0.5Pr0.5,120,0.389,90.093
534804.cif,534804,Fe0.5Ni0.5,120,0.379,90.472
1961204.cif,1961204,Ni0.5Pd0.5,120,0.351,90.823
1961205.cif,1961205,Co0.5Pd0.5,120,0.354,91.177
